Brain Region,Brain Area,Target,Method,Submethod,Model,Effect,Wake effectiveness,NREM effectiveness,REM effectiveness,Manipulation duration ( in relation to effectiveness),Rodent,Strain,Sex,Age,Sleep target,Target maturation timeline,Cognitive side effects,Metabolic side effects,Other effects,Reference,Author,Year,link,Impact factor at publication 
Forebrain,Hypothalamus,DMH,Optogenetic,ChR2,Optogenetic activation of RPA projecting galaninergic neurons,Increased REM sleep and decreased NREM sleep.,,"-21,00 %","21,80 %","0,5",Mice,GAL-Cre,Both,Adult,NREM,6-12 weeks,,,,"Chen, 2018",Chen,2018,https://doi.org/10.1016/j.neuron.2018.02.005 ,
Forebrain,Hypothalamus,DMH,Optogenetic,iC++,Optogenetic inhibition of RPA projecting galaninergic neurons,Decreased REM sleep and increased NREM sleep.,,"6,70 %","-7,30 %","0,5",Mice,GAL-Cre,Both,Adult,REM,6-12 weeks,,,,"Chen, 2018",Chen,2018,https://doi.org/10.1016/j.neuron.2018.02.005 ,
Brainstem,Midbrain,LC,Optogenetic,ChR2,optogenetic activation of noradrenergic LC neurons,Inhibiting NREM to REM transition. Disruption of spindle formation during NREM sleep. ,,,,,Mice,DBH-Cre;C57BL/6J,Both,Postnatal,REM,"Postnatal, >P21","Yes, induce stress",No,Acumulation of REM sleep pressure,"Osorio-Forero et al., 2021",Osorio-Forero,2021,https://doi.org/10.1016/j.cub.2021.09.041 ,
Brainstem,Midbrain,LC,Optogenetic,JAWS,Optogenetic inhibition of noradrenergic LC neurons,Enhanced density of sleep spindles. Reduced total time spent in NREM sleep and increasing time spent in REM sleep and wakefulness. Increases transitions from NREM to REM sleep.,,,,,Mice,DBH-Cre;C57BL/6J,Both,Postnatal,NREM,"Postnatal, >P21","Yes, induce stress",No,,"Osorio-Forero et al., 2021",Osorio-Forero,2021,https://doi.org/10.1016/j.cub.2021.09.041 ,
,,,Mechanical,Behavioural,Kept awake for several hours by novelty introduction,Frequent periods of focal slow waves + worsening on motor tasks,,,,,Rats,WKY,Male,Adult,NREM,Adult,"Yes, memory",,"Some areas off, others on in a awake/sleep state","Vyazovskiy, V. et al. (2011)",Vyazovskiy,2011,https://www.nature.com/articles/nature10009,
Forebrain,Hypothalamus,POA,Lesion,Temporary,Lesion of mPOA by NMDA,long-lasting insomnia with decrease in deep sleep and REM,"76,96 %","-42,98 %","-88,96 %",24,Rats,Wistar,Male,Adult,Both,Adult (200-275g),,increase locomotion and bodytemp,"Reduce in bodyweight due to locomotion, less sleep pressure, hyperthermia"," John
and Kumar, 1998",John and Kumar,1998,https://academic.oup.com/sleep/article/21/6/587/2725980?login=false,
,,,Manual,Manual,Disk over water - forced locomotion,"sleep deprivation, after 2-6 weeks dead unless halted",,,,,Rats,Sprague dawley,Male,Adult,REM,"Adult, 4-6 months. 425-525g",Not significantly,Not significantly,"TSD increase temp, excessive heat loss, attenuation of normal wake-sleep temp differences. Spotaneous death","Retschaffen, A. and Bergmann, B. (2002)",Retschaffen and Bergmann,2002,https://doi.org/10.1093/sleep/25.1.18,
Forebrain,Hypothalamus,VLPO,Lesion,Permanent,Bilateral lesion of VLPO using ibetonic acid,Decrease in NREM sleep time,"56,40 %","-54,30 %","-58,50 %",24,Rats,Sprague Dawley,Male,Adult,Both,250-275gm,No,Body temp,,"Lu, J. et al. (2000)",Lu,2000,https://doi.org/10.1523/JNEUROSCI.20-10-03830.2000,
Forebrain,Hypothalamus,VLPO,Lesion,Permanent,Dorsal lesion of VLPO using ibetonic acid,"small change in NREM, loss of REM",,"-14,60 %","-35,40 %",24,Rats,Sprague Dawley,Male,Adult,Both,250-275gm,No,Body temp,,"Lu, J. et al. (2000)",Lu,2000,https://doi.org/10.1523/JNEUROSCI.20-10-03830.2000,
Forebrain,Hypothalamus,VLPO,Lesion,Permanent,Lesion of VLPO using orexin-B-saporin,Rats with >70% cell loss slept up to 40% less than intact rats,"26,00 %",,,24,Rats,Sprague Dawley,Male,Adult,Both,"Adult, 300-365g",No,No,,"Vetrivelan, R. (2012)",Vetrivelan,2012,https://pubmed.ncbi.nlm.nih.gov/23115400/,
Forebrain,Hypothalamus,POA,Optogenetic,iC++,Inactivation of POA GABAergic neurons,Increased wakefulness and decreased sleep. Transitions from wake to sleep states were significantly reduced.,,,,,Mice,Vglut2-IRES-Cre,Both,Adult,Both,"Adult, 6-12 weeks",No,No,,"Chung, S. (2017)",Chung,2017,https://pubmed.ncbi.nlm.nih.gov/23115400/,
Forebrain,Hypothalamus,POA,Chemogenetic,hM4Di,Inhibition of POA CCK neurons,"Increased wakefulness, reduced NREM and REM sleep",,,,,Mice,CCK-Cre + CRH-Cre,Both,Adult,Both,"Adult, 6-12 weeks",No,No,,"Chung, S. (2017)",Chung,2017,https://pubmed.ncbi.nlm.nih.gov/28514446/,
Forebrain,Hypothalamus,POA,Chemogenetic,hM4Di,Inhibition of POA Tac1 neurons,Increased wakefulness and decreased sleep.,,,,,Mice,TAC1-Cre,Both,Adult,Both,"Adult, 6-12 weeks",No,No,,"Chung, S. (2017)",Chung,2017,https://pubmed.ncbi.nlm.nih.gov/28514446/,
Forebrain,Hypothalamus,POA,Optogenetic,ChR2,Activation of POA GAL neurons,Increased wakefulness and decreased sleep.,,,,,Mice,GAL-Cre,Both,Adult,Both,"Adult, 6-12 weeks",No,No,,"Chung, S. (2017)",Chung,2017,https://pubmed.ncbi.nlm.nih.gov/28514446/,
,,,Mechanical,Behavioural,forced confrontation with novelty,"Increase activity, decrease in REM+NREM","12,80 %","-11,60 %","-27,60 %",5,Mice,BALB/c,Male,Adult,Both,"Adult, 10 weeks","Yes, induce stress",No,"Sleep pressure rised after time, had to introduce more often. REM sleep affected after exposure","Tang, X. et al. (2005)",Tang,2005,https://www.sciencedirect.com/science/article/abs/pii/S0031938405001885?via%3Dihub#fig6,
,,,Mechanical,Behavioural,forced confrontation with novelty,"Increase activity, decrease in REM+NREM","9,80 %","-9,90 %","-13,90 %",5,Mice,C57BL/6,Male,Adult,Both,"Adult, 10 weeks","Yes, induce stress",No,"Sleep pressure rised after time, had to introduce more often. REM sleep affected after exposure","Tang, X. et al. (2005)",Tang,2005,https://www.sciencedirect.com/science/article/abs/pii/S0031938405001885?via%3Dihub#fig6,
,,,Mechanical,Behavioural,Cage exchange,"Increase activity, decrease in REM+NREM","62,80 %","-61,50 %","-76,30 %",5,Mice,BALB/c,Male,Adult,Both,"Adult, 10 weeks","Yes, induce stress",Increased locomotion,,"Tang, X. et al. (2005)",Tang,2005,https://www.sciencedirect.com/science/article/abs/pii/S0031938405001885?via%3Dihub#fig6,
,,,Mechanical,Behavioural,Cage exchange,"Increase activity, decrease in REM+NREM","37,10 %","-37,30 %","-17,00 %",5,Mice,C57BL/6,Male,Adult,Both,"Adult, 10 weeks","Yes, induce stress",Increased locomotion,,"Tang, X. et al. (2005)",Tang,2005,https://www.sciencedirect.com/science/article/abs/pii/S0031938405001885?via%3Dihub#fig6,
,,,Mechanical,Behavioural,forced confrontation with novelty,"decrease NREM and REM, more pain",,"-98,00 %","-100,00 %",6,Mice,C67BL/6J,,Adult,Both,3-6 months,"Yes, feel more pain",,Increase of both NREM and REM due to sleep pressure. Caffeine+modafinil blocked sleep-deprivation induced pain hypersensitivity,"Alexandre, C. et al (2017)",Alexandre,2017,https://www.nature.com/articles/nm.4329,
,,,Mechanical,Automated,Kept awake with aparatus + Activation of VTA DA neurons,Abolished NREM+REM. Sleep during critical period (P35-P42) shapes novelty preference,,,,,Mice, InsG3680+/+;?DATCre+/–,,Adolescence,Both,P35-P42,No,,Improving NREM sleep or reducing VTA activity during adolescent critical period can ameliorate social defecits,"Bian, W. (2022)",Bian,2022,https://www.nature.com/articles/s41593-022-01076-8#citeas,
,,,Genetic,CRISPR,Splicing mutation Sik3,"decrease total wake, increase NREM. Exaggerated reponse to SD","-28,70 %",,,24,Mice,Sik3Slp/+ and Sik3Slp/Slp,Male,Adult,NREM,12 weeks,,,,"Funato, H. (2016)",Funato,2016,https://pubmed.ncbi.nlm.nih.gov/27806374/,
,,,Genetic,CRISPR,Missense mutation of NALCN.,Shortened REM sleep episodes. Reduced REM sleep by 44%,,,,,Mice,NalcnDrl/+,Male,Adult,REM,12 weeks,,,,"Funato, H. (2016)",Funato,2016,https://pubmed.ncbi.nlm.nih.gov/27806374/,
,,,Genetic,HR,Knock-out Knac2 using homologous recombination,Pups had significantlyNREM sleep (~23%) and more waking (+21%). Higher number of waking episodes. Died at P28.,"21,00 %","-23,00 %","-10,00 %",24,Mice,Kcna2 KO,Male,Adult,NREM,birth to P60,,,KO pups between P12-P28 die due to generalized seizures,"Douglas, C.L. (2007)",Douglas,2007,https://pubmed.ncbi.nlm.nih.gov/17925011/,
Brainstem,Pons,PB,Chemogenetic,hM3Dq,Activation of the PB neurons,"Reduce sleep by 50% the first day of CNO application, behavioural arousal",,,,,Rats,Sprague Dawley,,Adult,Both,Adult,No,reduced bodyweight and leptin,subsequent PB activation produced progressively lesser wake amounts,"Qiu, M.H. (2016)",Qiu,2016,https://pubmed.ncbi.nlm.nih.gov/27546576/,
Forebrain,Hypothalamus,SuM,Chemogenetic,hM3Dq,Activation of vglut2 neurons of the SuM region w/ CNO,Continuous wakefulness for ~12 hours after activation,"968,97 %",,,5,Mice,Vglut2-IRES-Cre,Male,Adult,Both,"Adult, 8-12 weeks",,,,"Pedersen, N.P. (2017)",Pedersen,2017,https://pubmed.ncbi.nlm.nih.gov/29123082/,
Forebrain,Hypothalamus,SuM,Chemogenetic,hM3Dq,Activation of vgat/vglut2 neurons,Modest but significant effect on duration of wakefulness following CNO injection,"557,00 %",,,1,Mice,Vgat-IRES-Cre,Male,Adult,Both,"Adult, 8-12 weeks",,,,"Pedersen, N.P. (2017)",Pedersen,2017,https://pubmed.ncbi.nlm.nih.gov/29123082/,
Forebrain,Hypothalamus,SuM,Chemogenetic,hM3Dq,Activation of Nos1 positive neurons,Promoted wakefulness and increased sleep latency,,,,,Mice,Nos1-IRES-Cre,Male,Adult,Both,"Adult, 8-12 weeks",,,Inactivation led to reduced theta power during REM,"Pedersen, N.P. (2017)",Pedersen,2017,https://pubmed.ncbi.nlm.nih.gov/29123082/,
Brainstem,Medulla,PZ,Optogenetic,hM3Dq,Activation of GABAergic neurons in medullary PZ,Increases SWS at expense of REM and Wakefulness,"-68,47 %","120,62 %","-98,24 %",3,Mice,Vgat-IRES-cre,Male,Adult,REM,"Adult, 8-12 weeks. 20-25g",,,deep SWS induced by CNO administration appeared to satisfy the homeostatic need for sleep,"Anaclet, C. (2014) ",Anaclet,2014,https://pubmed.ncbi.nlm.nih.gov/25129078/,
Forebrain,Hypothalamus,SCN,Genetic,Breeding,Heterozygous clock mutation,"Moderate reduction in sleep (-9%/1hr) due to decreased NREM sleep, mainly during DP. ","9,00 %",,,24,Mice,Clock+/-,Male,Adult,NREM,not disclosed,No,No,"Less recovery sleep than WT, but more than homozygous.","Naylor, E. (2000)",Naylor,2000,https://pubmed.ncbi.nlm.nih.gov/11050136/,
Forebrain,Hypothalamus,SCN,Genetic,Breeding,Homozygous clock mutation,Significantly less sleep (-18%/-2hrs) due to decreased NREM sleep. Shorter NREM episode length. ,"18,00 %",,,24,Mice,Clock+/+,Male,Adult,NREM,not disclosed,No,Lengthened activity period,Less recovery sleep and smaller increase in REM sleep.,"Naylor, E. (2000)",Naylor,2000,https://pubmed.ncbi.nlm.nih.gov/11050136/,
,,,Genetic,Breeding,Hemideletion in chromosomal region 16p11.2 (risk for ASD),"Hyperactivity, male mice more awake and significantly less NREM sleep. Long bouts of consolidated wakefulness (>42 min)",,,,,Mice,16p11.2 del/+,Both,Adult,NREM,"Adult, 2.5-4.5 months",No,Hyperactivity,"females had no difference to wt female mice. Males had increased alpha power during wake, while females had increased beta power during wake and decreased low delta power during NREM sleep.","Angelakos, C. J. (2017)",Angelakos,2017,https://pubmed.ncbi.nlm.nih.gov/27739237/,
Forebrain,Hypothalamus,Hypothalamus,Lesion,Permanent,Lesion of hypothalamus with incision or hook,"Displayed irregular sleep-wake cycle. Rats were unable to stay awake or sleep, went into a continous drowsy state.",,,,,Rats,Albino,,Adult,Both,Adult,,Hypothermia,,"Nauta, W.J. (1946)",Nauta,1946,https://journals.physiology.org/doi/abs/10.1152/jn.1946.9.4.285,
Forebrain,Basal Forebrain,BF,Lesion,Permanent,Lesion in BF+LC+TMN orexin neurons by different saporins,Reduced REM sleep by 44.4% (triple lesioned). Less and longer NREM+Wake bouts.,,,"-25,80 %",24,Rats,Sprague Dawley,Male,Adult,REM,"Adult, 4-6 months",no,drop in muscle tone,Triple lesioned had additive effect on wake on NREM sleep (dark cycle),"Blanco-Centurion, C. (2007)",Blanco-Centurion,2007,https://pubmed.ncbi.nlm.nih.gov/18094243/,
Forebrain,Basal Forebrain,BF,Lesion,Permanent,Lesion in BF+LC orexin neurons,Reduced REM sleep by 32.2% (double lesioned). Less and longer NREM+Wake bouts.,,,"-18,60 %",24,Rats,Sprague Dawley,Male,Adult,REM,"Adult, 4-6 months",no,drop in muscle tone,,"Blanco-Centurion, C. (2007)",Blanco-Centurion,2007,https://pubmed.ncbi.nlm.nih.gov/18094243/,
Brainstem,Pons,LC,Optogenetics,ChR2,Optogenetic activation of LC noradrenergic neurons,Immediate sleep-to-wake transitions. More wakefulness at expense of NREM sleep + reduced probability of sleep-to-wake transitions,,,,,Mice,Tyrosine hydroxylase (TH)?IRES-Cre knockin HZ,Male,Adult,Both,8-18 weeks,,Locomotion increased/decreased,Decrease in SWA during NREM - decreased sleep depth. Decreased theta activity for REM. Affected locomotion. High frequent continuous stimulation resulted in behaviour arrest.,"Carter, M. E (2010)",Carter,2010,https://pubmed.ncbi.nlm.nih.gov/21037585/,
,,,Mechanical,Manual,Reduce REM sleep by flower pot method,"REM sleep deprivation, ~45% decrease. NREM decrease if platform too high.",,"-14,09 %","-44,86 %",24,Rats,Sprague Dawley,Male,Adult,REM,"Adult, 200-225g",chronic stress,weight loss,also deprivation of deep NREM. Had increased REM sleep bout and total after flower pot.,"Mendelson, W. E. (1974)",Mendelson,1974,https://www.sciencedirect.com/science/article/abs/pii/0091305774900185,
,,,Mechanical,Manual,flower pot method,SD rats was able to retain information less than 5 mins.,,,,,Rats,Wistar,Male,Adult,REM,"Adult, 250-400g",chronic stress,"weight loss, increase locomotion",also deprivation of deep NREM. Bad performance in maze tasks,"Youngblood, B. (1997)",Youngblood,1997,https://doi.org/10.1016/S0031-9384(96)00363-0,
,,,Genetic,Breeding,Sleep deprivation effect on different inbred mice strains,"D2 and 129 most wakefulness. C easily held awake, stress sensitivity. AK + C needed longer sleep time, D2 needed least",,,,,Mice,"AKR/J, BALB/cByJ, C57BL/6J, C57BR/cdJ, DBA/2J",Male,Adult,Both,"Adult, 71-81 days. 24-35g",Stress,,,"Franken, P. (1999)",Franken,1999,https://pubmed.ncbi.nlm.nih.gov/10201060/,
,,,Pharmacologic,Corticosterone,Acute exposure to corticoserone,acute rapidly increases wakefulness at expense of REM and NREM sleep,,,,,Mice,C57BL/6J,Male,Adult,Both,"8-14 weeks, 22-26g",No,No,Increase EEG delta during wake and decrease during NREM.,"Yao, Z. (2023)",Yao,2023,https://pubmed.ncbi.nlm.nih.gov/37891839/,
,,,Pharmacologic,Corticosterone,Chronic exposure to corticoserone,"Chronic led to excessive wakefulness and REM sleep, decrease NREM","16,79 %","-15,76 %","13,44 %",12,Mice,C57BL/6J,Male,Adult,NREM,"8-14 weeks, 22-26g",depression,reduced bodyweight gain,"effects persisted, except for REM sleep amounts, even 7 days after the drug withdrawal. Decreased delta and increased theta during wake. theta power decreased during REM and delta power increased during NREM","Yao, Z. (2023)",Yao,2023,https://pubmed.ncbi.nlm.nih.gov/37891839/,
,,,Mechanical,Behavioural,Cage exchange - male in a previously male occupied cage,"Sleep disturbances hours after; prolonged sleep latency, reduced sleep duration, frequent arousals, fragmentation of sleep. Stress induced insomnia","104,00 %","-23,43 %","-57,89 %",2,Rats,Sprague Dawley,Male,Adult,Both,"Adult, 275-325g",,,Lesions of the infralimbic cortex restoreNREM but not REM sleep in animals with experimental stressinduced insomnia. Lesions of the extended amygdala restored both REM and NREM sleep,"Cano, G. (2008)",Cano,2008,https://pubmed.ncbi.nlm.nih.gov/18829974/,
Forebrain,Hypothalamus,TMN,Pharmacologic,Modafinil,Modafinil-induced wakefulness,"Promotes wake at expense of other sleep states, large dose = efficiently longer wake. Strongly induced Fos in TMN and orexin neurons of the PFx",,,,,Rats,Sprague Dawley,Male,Adult,Both,"Adult, 270-330g",,No,may promote waking via activation of TMN and orexin neuron,"Scammel, T.E. (2000)",Scammel,2000,https://pubmed.ncbi.nlm.nih.gov/11069971/,
,,,Pharmacologic,Caffeine,Dose dependent use of caffeine,A dose-dependent and significant prolongation of sleep onset latency,,,,,Rats,Sprague Dawley,Male,Adult,Both,"Adult, 250-350g",,No,"effect was sensitive to zolpidem and trazodone, both of which attenuated the caffeine-induced increase in SOL","Paterson, L. (2007)",Paterson,2007,https://pubmed.ncbi.nlm.nih.gov/17225163/,
,,,Pharmacologic,Caffeine,Dose dependent use of caffeine,"12.5+25mg/kg: Increased wakefulness, decreased total sleep time. 0.125+1.25mg/kg: increased SWS1 at expense of SWS2","240,78 %","-65,50 %","-81,48 %",6,Rats,Sprague Dawley,Male,Adult,Both,"Adult, 300g",,,,"Yanik, G (1987)",Yanik,1987,https://pubmed.ncbi.nlm.nih.gov/3828812/,
,,,Pharmacologic,Diezepam,Diazepam IP injections in different doses (to treat sleep apnea),5mg/kg of diazepam increased NREM and decreased REM. Also reduced amount of wake and wake frequency.,,,,,Rats,Sprague Dawley,Male,Adult,Both,"Adult, 300g",,,,"Carley, D. W. (1998)",Carley,1998,https://pubmed.ncbi.nlm.nih.gov/9517612/,
,,,Mechanical,Manual,expose rodents to periods of hypoxia of 30-120s during light phase,Hypoxia cause REM sleep deficits and deficits in EEG delta power of NREM,,"-5,26 %","-18,26 %",24,Mice,C57BL/6J,Male,Adult,Both,"Adult, 27-30g",stress,,"total NREM recovered over time, but not REM","Polotsk, V. Y. (2006)",Polotsk,2006,https://pubmed.ncbi.nlm.nih.gov/16309961/,
,,,Mechanical,Manual,Expose rodents to auditory/tactile stimulus,Caused sleep fragmentation,,"-16,46 %","-16,00 %",24,Mice,C57BL/6J,Male,Adult,Both,"Adult, 27-30g",,,,"Polotsk, V. Y. (2006)",Polotsk,2006,https://pubmed.ncbi.nlm.nih.gov/16309961/,
,,,Pharmcologic,Enzyme inhibitor,Using SeCl14 to block prostaglandin D synthase (PGDS) on WT,"WT: increased wake, decreased NREM by 23% and REM by 44%. H-PGDS KO mice: increased wake, 80% reduced NREM+REM In L-PGDS KO mice, the effect on sleep and wake had delayed sleep onset during dark phase.",,"-45,00 %","-81,00 %",5,Mice,C57BL/6 mice,Male,Adult,Both,"Adult, 11-13 weeks. 25-28g",,,treatment with this compound resulted in a distinct sleep rebound during the following dark period,"Qu, W. (2006)",Qu,2006,https://pubmed.ncbi.nlm.nih.gov/17093043/,
,,,Pharmcologic,Enzyme inhibitor,Using SeCl14 to block prostaglandin D synthase (PGDS) on L-PGDS KO mice.,"5mg/kg: In L-PGDS KO mice, the effect on sleep and wake had delayed sleep onset during dark phase.",,,,5,Mice,L-PGDS KO,Male,Adult,Both,"Adult, 11-13 weeks. 25-28g",,,treatment with this compound resulted in a distinct sleep rebound during the following dark period,"Qu, W. (2006)",Qu,2006,https://pubmed.ncbi.nlm.nih.gov/17093043/,
,,,Pharmcologic,Enzyme inhibitor,Using SeCl14 to block prostaglandin D synthase (PGDS) on H-PGDS KO mice.,"5mg/kg: H-PGDS KO mice: increased wake, 80% reduced NREM+REM",,"-27,00 %","-78,00 %",5,Mice,H-PGDS KO,Male,Adult,Both,"Adult, 11-13 weeks. 25-28g",,,treatment with this compound resulted in a distinct sleep rebound during the following dark period,"Qu, W. (2006)",Qu,2006,https://pubmed.ncbi.nlm.nih.gov/17093043/,
Forebrain,Basal Forebrain,BF,Lesion,Temporary,DP1R antagonist ONO-4127Na infused into subrachnoid space(100pmol/min),"Reduced NREM by at max 23% and REM by max 50%, increased wakefulness",,"-23,00 %","-49,00 %",7,Rats,Sprague dawley,Male,Adult,Both,"Adult, 8-10 weeks. 250-320g",,,treatment with this compound resulted in a distinct sleep rebound during the following dark period,"Qu, W. (2006)",Qu,2006,https://pubmed.ncbi.nlm.nih.gov/17093043/,
Forebrain,Basal Forebrain,BF,Lesion,Temporary,DP1R antagonist ONO-4127Na infused into subrachnoid space(200pmol/min),"Reduced NREM by at max 30% and REM by max 60, increased wakefulness",,"-28,00 %","-63,00 %",7,Rats,Sprague dawley,Male,Adult,Both,"Adult, 8-10 weeks. 250-320g",,,,"Qu, W. (2006)",Qu,2006,https://pubmed.ncbi.nlm.nih.gov/17093043/,
,,,Pharmcologic,Food,Mice with iron deficiency (diet),"Increased wakefulness 4h period prior to lights-on. Both NREM+REM decreased, significant for NREM","5,56 %","-11,75 %","14,28 %",12,Mice,C57BL/6J ,Male,Adult,Both,postnatal D21 to D60,,,iron deficient less red blood cells,"Dean, T. (2006)",Dean,2006,https://pubmed.ncbi.nlm.nih.gov/17098470/,
,,,Genetic,Breeding,Ntsr1 knockout mice,Reduced REM sleep in dark phase and increased amount of NREM sleep.,,,,,Mice,NTSR1-/-,Male,Adult,REM,8 weeks,anxious behaviour,,"Following sleep deprivation, NTSR1 knockouts exhibited more wake and less NREM rebound sleep","Fitzpatrick, K. (2012)",Fitzpatrick,2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3369230/,
,,,Genetic,Breeding,Sleep patterns in different levels of anxiety in mice strains,"High anxiety needed more sleep, due to heavy sleep fragmentation, lower quality of sleep. Had a drive for REM sleep.","16,50 %","-19,19 %",,12,Mice,CD1 inbred diff. anxiety traits,,Adult,Both,"Adult, 25-30g",Anxiety in breed,,,"Jakubcakova, V. (2012)",Jakubcakova,2012,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3394752/,
,,,Mechanical,Manual,Platform method/flowerpot method with large and small diameter,"REM virtually abolished during first light in both, NREM halved. Deeper NREM lower in small diameter group.","65,26 %","-48,86 %","-89,71 %",12,Rats,Møll-Wistar,Male,Adult,Both,"Adult, 300g",,,REM rebound in both groups. Only NREM rebound in small diameter group.,"Grahnstedt, S. (1985)",Grahnstedt,1985,https://pubmed.ncbi.nlm.nih.gov/4091961/,
,,,Mechanical,Automated,Homemade rotating device 'CaResS' for sleep fragmentation,"REM significantly decreased (59-66%), SWS decreased (12-19%). Glucose absorption slower",,"-18,76 %","-65,82 %",24,Mice,C57BL6,Male,Adult,Both,"Adult, 7-9 weeks. 22-25g",No,Locomotion and food intake increased,Increased GC level during active period,"Baud, M. O. (2013)",Baud,2013,https://pubmed.ncbi.nlm.nih.gov/22734931/,
,,,Mechanical,Manual,Gentle handling,Almost total suppression of both NREM and REM sleep.,"99,50 %",,,6,Mice,C57BL6,Male,Adult,Both,Adult,Corticosterone levels increased,,less time awake in DP after automated depression in comparison to gentle handling. less in REM after deprivation than gentle handling,"Fenzl, T. (2007)",Fenzl,2007,https://pubmed.ncbi.nlm.nih.gov/17825425/,
,,,Mechanical,Automated,"Automated running wheel in cage, rotation triggered by EMG threshold",99.5% suppression of both NREM and REM sleep. ,,,,6,Mice,C57BL7,Male,Adult,Both,Adult,Corticosterone levels increased,,,"Fenzl, T. (2007)",Fenzl,2007,https://pubmed.ncbi.nlm.nih.gov/17825425/,
,,,Mechanical,Automated,Automated rotating drum with fixed internal wall,"99% suppression of sleep, with REM completely abolished. Both LP and DP.",,,,,Rats,Wistar,Male,Adult,Both,Adult,Corticosterone levels increased,Locomotion increased,,"Leenaars, C. (2011)",Leenaars,2011,https://pubmed.ncbi.nlm.nih.gov/21262261/,
,,,Mechanical,Automated,Forced locomotion with treadmill for sleep fragmentation,NREM bout decreased and time decreased by 17%. REM absent.,,,,24,Rats,Fischer-Norway,Male,Adult,Both,"Adult, 230-300g",Attentional shift dysfunction,Locomotion increased,,"McCoy, J. G. (2007)",McCoy,2007,https://pubmed.ncbi.nlm.nih.gov/17310865/,
